index,price,brand,model,year,title_status,mileage,color,vin
628,23211,ford,flex,2019,clean vehicle,17025,black,  2fmhk6c85kba19710
629,15500,kia,sorento,2017,clean vehicle,37668,red,  5xypgda59hg292944
630,18111,ford,fusion,2019,clean vehicle,15805,black,  3fa6p0ruxkr244131
631,21500,kia,sorento,2017,clean vehicle,43761,gray,  5xypkda50hg299327
632,25511,ford,mustang,2019,clean vehicle,11342,gray,  1fatp8uh4k5177265
633,17700,chevrolet,equinox,2017,clean vehicle,35664,blue,  2gnaldek2h1500410
634,28000,chevrolet,cutaway,2017,clean vehicle,12780,white,  1gb3gtcgxh1118909
635,14000,chevrolet,door,2017,clean vehicle,38458,blue,  1g1ze5st9hf229260
636,21700,chevrolet,door,2017,clean vehicle,34420,silver,  1gnkvgkd4hj314704
637,13500,chevrolet,door,2017,clean vehicle,46497,white,  1g1ze5stxhf257679
638,35500,chevrolet,1500,2017,clean vehicle,21268,no_color,  3gcuksec0hg271643
639,29500,chevrolet,1500,2017,clean vehicle,31029,red,  3gcukrec7hg170656
640,25300,chevrolet,1500,2017,clean vehicle,40878,no_color,  1gcvkrec8hz169908
641,21500,chevrolet,1500,2016,clean vehicle,20270,silver,  3gcuknec9gg224336
642,25900,chevrolet,door,2016,clean vehicle,32984,blue,  1gcvkrec8gz393856
643,35300,chevrolet,door,2016,clean vehicle,75506,black,  1gnskckc9gr424401
644,13500,chevrolet,door,2016,clean vehicle,39951,red,  1g1bg5sm5g7250863
645,62000,chevrolet,corvette,2016,clean vehicle,19403,white,  1g1yt2d6xg5612796
646,46000,chevrolet,corvette,2016,clean vehicle,4445,black,  1g1yj2d70g5122320
647,9000,chevrolet,malibu,2016,clean vehicle,67527,gray,  1g1zj5su8gf337274
648,25900,chevrolet,door,2016,clean vehicle,33588,white,  1gcvkrec7gz392164
649,25800,chevrolet,door,2016,clean vehicle,10103,no_color,  1gcvkpec7gz283370
650,17000,chevrolet,door,2016,clean vehicle,26474,gray,  2gnaldek7g6323080
651,12800,chevrolet,door,2016,clean vehicle,40253,white,  1g1ze5st5gf315602
652,47400,chevrolet,3500,2016,clean vehicle,39624,red,  1gc4k0c84gf121926
653,24400,chevrolet,door,2016,clean vehicle,48705,gray,  1gnkvjkd3gj171692
654,17100,chevrolet,trax,2016,clean vehicle,19659,white,  kl7cjrsb9gb542870
655,7400,chevrolet,door,2015,clean vehicle,91299,no_color,  1g11c5sl8ff311156
656,33100,chevrolet,door,2015,clean vehicle,81614,gold,  1gnskckc5fr181703
657,22000,chevrolet,trax,2020,clean vehicle,179,gray,  3gncjksbxll181398
658,35000,chevrolet,1500,2019,clean vehicle,5523,no_color,  3gcpwaef0kg291601
659,16500,chevrolet,equinox,2019,clean vehicle,29841,silver,  2gnaxkev6k6186886
660,35300,chevrolet,1500,2019,clean vehicle,8516,silver,  1gcuwded5kz124282
661,26900,chevrolet,traverse,2018,clean vehicle,42941,black,  1gnevhkw8jj148388
662,11600,chevrolet,trax,2017,clean vehicle,27498,black,  3gncjksb6hl148082
663,28100,chevrolet,1500,2017,clean vehicle,31141,silver,  1gcpcrec9hf242498
664,27700,chevrolet,1500,2017,clean vehicle,20784,white,  1gcvkrec1hz135955
665,17700,chevrolet,passenger,2017,clean vehicle,52667,white,  1gazgpfg0h1169059
666,16600,chevrolet,volt,2017,clean vehicle,26003,no_color,  1g1rc6s56hu177143
